participant,base_uuid,unique_uuid,group,num_points,hull_count,hull_contiguous,hull_switches,hull_segment_length,hull_first_position,adherence_score
10036,966d7482-fc02-4c62-8371-e110982f54fe,6ec3d312-52ea-47bc-9b69-64a188d808b8,disperse,25,6,False,8,2,0,0.33333333333333337
10036,759f6114-d435-4e65-b2a6-fd9a0cf508bf,bd3ed937-9ad5-4d29-a4ba-0d13f3d0df81,clustered,20,8,False,10,2,0,0.375
10036,7f2faf0a-3b6c-473f-b757-031c26da8fb6,44a53bd9-5a78-479c-a432-bd1ea6593427,disperse,20,8,False,8,3,0,0.5
10036,6427c4a4-177d-4e0d-83af-77ec2c7d5ec9,cf8252bd-b7a3-49c0-8be8-d7f76d9a536b,disperse,20,6,False,8,3,0,0.33333333333333337
10036,aa123a56-54c6-4814-a77a-8ee3d41fb4af,a28ae86d-e569-4eeb-85ef-3d6ab543b2ed,clustered,20,8,False,10,2,0,0.375
10036,3c61df79-3f08-446e-a753-cd497be9ba96,8495b0dd-5faf-49dc-acfc-c98f7d9ad836,clustered,25,8,False,8,4,0,0.5
10036,a52e04a2-854b-4bac-913b-57193c4a0b9f,07ae0046-1d48-49ad-ba88-a186a4668541,disperse,20,8,False,8,3,0,0.5
10036,34839dd1-7558-4cbf-a9a7-4a5af5610fab,db6badc3-965a-42de-9cfc-594c15be4e38,disperse,25,9,False,10,3,0,0.4444444444444444
10036,e9079980-5664-4e1f-9c34-a8f217ec4994,a9a86c7b-7486-4f79-b1e5-c98e575b6607,clustered,20,8,False,10,3,1,0.375
10036,ebc069c7-ea01-4796-b58f-0bb114bf8db7,3a67555b-421d-410e-a755-8a6550f660c1,disperse,25,8,False,8,3,0,0.5
10036,05b013ef-724d-407f-9591-18a4103b8040,dcc5aaba-e481-451f-a12a-8db457a06358,clustered,25,11,False,14,3,0,0.36363636363636365
10036,19ee29b6-b6f8-4e8d-9a7f-1e721e51d336,9dce5bc4-5750-4f2c-b6ea-aeaa37be203d,clustered,25,9,False,12,3,0,0.33333333333333337
10036,eef4ebf2-be9c-4dbc-bb07-6f1f65bfc621,e2bb92f3-d666-460f-bc60-90fa057fc5c0,disperse,20,8,False,10,3,0,0.375
10036,b3f3232f-dc0b-478c-8c4c-f32be0b615af,8a1cc021-a670-499a-ac86-bfccb4e715f0,clustered,25,6,False,8,3,0,0.33333333333333337
10036,d8b0ab6e-5a7c-4b2d-9c47-e493b84d0178,d831a14a-2cb7-4bd2-9b15-1513795194d1,disperse,25,10,False,10,5,0,0.5
10036,966d7482-fc02-4c62-8371-e110982f54fe,f36c5c55-fe44-4eb5-ac05-d55f8b4babf7,disperse,25,6,False,10,2,0,0.16666666666666663
10036,8b3ef66f-dce6-4ac1-b5c9-401d17608f2a,d501f0ad-2608-4072-825d-e0adbac361e8,disperse,10,6,False,6,3,0,0.5
10036,f9222368-ac90-4343-9293-76729210f9dc,609efae9-d48b-4023-82db-16fcec4f6e9c,clustered,15,8,False,4,5,0,0.75
